date;hours;buy_volume;sell_volume;volume;price
2021-03-09;0 - 1;20,559.1;19,829.4;20,559.1;47.52
2021-03-09;1 - 2;21,717.4;19,889.8;21,717.4;46.66
2021-03-09;2 - 3;21,755.5;19,463.4;21,755.5;43.77
2021-03-09;3 - 4;21,724.2;18,780.7;21,724.2;43.09
2021-03-09;4 - 5;21,907.9;18,188.5;21,907.9;43.59
2021-03-09;5 - 6;21,399.0;19,371.8;21,399.0;48.26
2021-03-09;6 - 7;23,177.0;19,968.2;23,177.0;61.70
2021-03-09;7 - 8;24,534.2;22,668.7;24,534.2;73.40
2021-03-09;8 - 9;24,979.3;23,758.4;24,979.3;81.35
2021-03-09;9 - 10;26,013.0;25,842.7;26,013.0;72.55
2021-03-09;10 - 11;26,232.0;26,530.4;26,530.4;63.02
2021-03-09;11 - 12;26,582.7;27,431.3;27,431.3;59.70
2021-03-09;12 - 13;26,405.3;27,421.3;27,421.3;57.94
2021-03-09;13 - 14;26,143.5;26,019.8;26,143.5;56.47
2021-03-09;14 - 15;25,853.8;24,296.9;25,853.8;56.49
2021-03-09;15 - 16;26,094.1;22,284.0;26,094.1;57.39
2021-03-09;16 - 17;25,430.6;20,237.5;25,430.6;57.05
2021-03-09;17 - 18;26,614.3;20,229.4;26,614.3;65.00
2021-03-09;18 - 19;25,663.1;21,452.7;25,663.1;90.16
2021-03-09;19 - 20;25,433.6;22,074.1;25,433.6;93.30
2021-03-09;20 - 21;24,227.6;21,831.0;24,227.6;70.00
2021-03-09;21 - 22;21,779.6;21,344.9;21,779.6;61.70
2021-03-09;22 - 23;21,048.8;20,499.6;21,048.8;58.30
2021-03-09;23 - 24;21,088.1;19,902.1;21,088.1;53.57
date;hours;buy_volume;sell_volume;volume;price
2021-03-09;0 - 1;20,559.1;19,829.4;20,559.1;47.52
2021-03-09;1 - 2;21,717.4;19,889.8;21,717.4;46.66
2021-03-09;2 - 3;21,755.5;19,463.4;21,755.5;43.77
2021-03-09;3 - 4;21,724.2;18,780.7;21,724.2;43.09
2021-03-09;4 - 5;21,907.9;18,188.5;21,907.9;43.59
2021-03-09;5 - 6;21,399.0;19,371.8;21,399.0;48.26
2021-03-09;6 - 7;23,177.0;19,968.2;23,177.0;61.70
2021-03-09;7 - 8;24,534.2;22,668.7;24,534.2;73.40
2021-03-09;8 - 9;24,979.3;23,758.4;24,979.3;81.35
2021-03-09;9 - 10;26,013.0;25,842.7;26,013.0;72.55
2021-03-09;10 - 11;26,232.0;26,530.4;26,530.4;63.02
2021-03-09;11 - 12;26,582.7;27,431.3;27,431.3;59.70
2021-03-09;12 - 13;26,405.3;27,421.3;27,421.3;57.94
2021-03-09;13 - 14;26,143.5;26,019.8;26,143.5;56.47
2021-03-09;14 - 15;25,853.8;24,296.9;25,853.8;56.49
2021-03-09;15 - 16;26,094.1;22,284.0;26,094.1;57.39
2021-03-09;16 - 17;25,430.6;20,237.5;25,430.6;57.05
2021-03-09;17 - 18;26,614.3;20,229.4;26,614.3;65.00
2021-03-09;18 - 19;25,663.1;21,452.7;25,663.1;90.16
2021-03-09;19 - 20;25,433.6;22,074.1;25,433.6;93.30
2021-03-09;20 - 21;24,227.6;21,831.0;24,227.6;70.00
2021-03-09;21 - 22;21,779.6;21,344.9;21,779.6;61.70
2021-03-09;22 - 23;21,048.8;20,499.6;21,048.8;58.30
2021-03-09;23 - 24;21,088.1;19,902.1;21,088.1;53.57
